,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Inflation,multiplier
0,0,0,0,67,1980-01-01,82.40833333333333,3.2881353018505406
1,1,1,1,68,1981-01-01,90.925,2.980145724498213
2,2,2,2,69,1982-01-01,96.5,2.8079766839378237
3,3,3,3,70,1983-01-01,99.6,2.7205798192771082
4,4,4,4,71,1984-01-01,103.88333333333334,2.6084044601315575
5,5,5,5,72,1985-01-01,107.56666666666666,2.519086612953207
6,6,6,6,73,1986-01-01,109.60833333333332,2.4721637649205506
7,7,7,7,74,1987-01-01,113.625,2.3847722772277224
8,8,8,8,75,1988-01-01,118.25833333333334,2.291337467408921
9,9,9,9,76,1989-01-01,123.96666666666668,2.1858275073944604
10,10,10,10,77,1990-01-01,130.65833333333333,2.073880349512086
11,11,11,11,78,1991-01-01,136.19166666666666,1.9896206326867771
12,12,12,12,79,1992-01-01,140.31666666666666,1.931130181731797
13,13,13,13,80,1993-01-01,144.45833333333334,1.8757640611479662
14,14,14,14,81,1994-01-01,148.225,1.8280974869286557
15,15,15,15,82,1995-01-01,152.38333333333333,1.7782111998250028
16,16,16,16,83,1996-01-01,156.85,1.7275725215173732
17,17,17,17,84,1997-01-01,160.51666666666668,1.688109749766379
18,18,18,18,85,1998-01-01,163.00833333333333,1.6623061193190531
19,19,19,19,86,1999-01-01,166.575,1.6267131922557407
20,20,20,20,87,2000-01-01,172.2,1.5735757839721254
21,21,21,21,88,2001-01-01,177.06666666666666,1.5303261483433734
22,22,22,22,89,2002-01-01,179.875,1.5064336344683806
23,23,23,23,90,2003-01-01,183.9583333333333,1.472995243488109
24,24,24,24,91,2004-01-01,188.88333333333333,1.434587929056737
25,25,25,25,92,2005-01-01,195.29166666666663,1.3875131213996161
26,26,26,26,93,2006-01-01,201.59166666666667,1.3441515439626306
27,27,27,27,94,2007-01-01,207.34241666666668,1.3068708002744251
28,28,28,28,95,2008-01-01,215.3025,1.2585536628696832
29,29,29,29,96,2009-01-01,214.537,1.2630443699688165
30,30,30,30,97,2010-01-01,218.0555,1.2426641382583792
31,31,31,31,98,2011-01-01,224.9391666666667,1.2046356977997752
32,32,32,32,99,2012-01-01,229.59391666666667,1.180213108143472
33,33,33,33,100,2013-01-01,232.9570833333333,1.1631745475293198
34,34,34,34,101,2014-01-01,236.73616666666663,1.1446064782384329
35,35,35,35,102,2015-01-01,237.017,1.1432502731871552
36,36,36,36,103,2016-01-01,240.00716666666668,1.1290069115991674
37,37,37,37,104,2017-01-01,245.1195833333333,1.1054594101178508
38,38,38,38,105,2018-01-01,251.10683333333333,1.079101458144309
39,39,39,39,106,2019-01-01,255.65741666666668,1.0598939531384608
40,40,40,40,107,2020-01-01,258.8111666666667,1.0469785886363738
41,41,41,41,108,2021-01-01,270.96975,1.0
